date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:55	22154/22154	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Aug%202020%2008:35:32%20GMT	https://bonevn.net/assets/js/pcoded.min.js	D:/www/kuluc/bonevn.net/assets/js/pcoded.min.js	(from https://bonevn.net/)
15:47:55	26849/26849	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/plugins/prism.js	D:/www/kuluc/bonevn.net/assets/js/plugins/prism.js	(from https://bonevn.net/)
15:47:55	260306/260306	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c4abfa970e594277467919c8a1618aad%22	https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	D:/www/kuluc/connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	(from https://bonevn.net/)
15:47:56	30903/30903	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/horizontal-menu.js	D:/www/kuluc/bonevn.net/assets/js/horizontal-menu.js	(from https://bonevn.net/)
15:47:56	14/14	---M--	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/analytics.js	D:/www/kuluc/bonevn.net/assets/js/analytics.js	(from https://bonevn.net/)
15:47:56	4178/4178	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/css/plugins/prism-coy.css	D:/www/kuluc/bonevn.net/assets/css/plugins/prism-coy.css	(from https://bonevn.net/)
15:47:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:57%20GMT	https://imgur.com/2TIffPX.png	D:/www/kuluc/imgur.com/2TIffPX.23.delayed	(from https://bonevn.net/blog/)
15:47:57	420581/420581	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2007:23:48%20GMT	https://bonevn.net/assets/css/style.css	D:/www/kuluc/bonevn.net/assets/css/style.css	(from https://bonevn.net/)
15:47:57	94865/94865	---M--	200	added ('OK')	image/png	etag:%2241a5cd9cd987b4a79af2d225582f05e1%22	https://i.imgur.com/2TIffPX.png	D:/www/kuluc/i.imgur.com/2TIffPX.png	(from https://bonevn.net/blog/)
15:47:58	370900/370900	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:56%20GMT	https://bonevn.net/blog/huong-dan-fake-ip-bang-phan-mem-proxifier	D:/www/kuluc/bonevn.net/blog/huong-dan-fake-ip-bang-phan-mem-proxifier.html	(from https://bonevn.net/blog/)
